Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,24,2000,27.2,,,,,,,,,,,,,,,,,,,,,Matches
2,Jerome Abbey,eng ENG,MF,Wolves,eng Premier League,15,2009,0.2,,,,,,,,,,,,,,,,,,,,,Matches
3,Zach Abbott,eng ENG,DF,Nottingham,eng Premier League,19,2006,1.8,,,,,,,,,,,,,,,,,,,,,Matches
4,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19,2006,7.6,,,,,,,,,,,,,,,,,,,,,Matches
5,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,25,1999,1.5,,,,,,,,,,,,,,,,,,,,,Matches
6,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25,1999,10.5,,,,,,,,,,,,,,,,,,,,,Matches
7,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,31,1993,13.2,,,,,,,,,,,,,,,,,,,,,Matches
8,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25,2000,10.1,,,,,,,,,,,,,,,,,,,,,Matches
9,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26,1999,15.0,,,,,,,,,,,,,,,,,,,,,Matches
10,Tay Abed,il ISR,MF,Levante,es La Liga,21,2004,1.0,,,,,,,,,,,,,,,,,,,,,Matches
11,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32,1993,25.8,,,,,,,,,,,,,,,,,,,,,Matches
12,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22,2003,27.7,,,,,,,,,,,,,,,,,,,,,Matches
13,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25,2000,23.9,,,,,,,,,,,,,,,,,,,,,Matches
14,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25,2000,5.7,,,,,,,,,,,,,,,,,,,,,Matches
15,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26,1999,16.0,,,,,,,,,,,,,,,,,,,,,Matches
16,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,27,1997,3.2,,,,,,,,,,,,,,,,,,,,,Matches
17,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24,2001,5.8,,,,,,,,,,,,,,,,,,,,,Matches
18,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,22,2003,7.8,,,,,,,,,,,,,,,,,,,,,Matches
19,Mathieu Acapandié,mg MAD,"DF,MF",Nantes,fr Ligue 1,20,2004,2.9,,,,,,,,,,,,,,,,,,,,,Matches
20,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37,1988,15.3,,,,,,,,,,,,,,,,,,,,,Matches
21,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27,1998,19.1,,,,,,,,,,,,,,,,,,,,,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19,2006,7.4,,,,,,,,,,,,,,,,,,,,,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25,2000,22.9,,,,,,,,,,,,,,,,,,,,,Matches
24,Ché Adams,sct SCO,FW,Torino,it Serie A,29,1996,21.0,,,,,,,,,,,,,,,,,,,,,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26,1999,19.7,,,,,,,,,,,,,,,,,,,,,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24,2001,5.0,,,,,,,,,,,,,,,,,,,,,Matches
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27,1997,8.8,,,,,,,,,,,,,,,,,,,,,Matches
28,Jayden Addai,nl NED,MF,Como,it Serie A,19,2005,7.6,,,,,,,,,,,,,,,,,,,,,Matches
29,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23,2002,13.3,,,,,,,,,,,,,,,,,,,,,Matches
30,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,23,2002,7.3,,,,,,,,,,,,,,,,,,,,,Matches
31,Simon Adingra,ci CIV,"MF,FW",Monaco,fr Ligue 1,23,2002,9.5,,,,,,,,,,,,,,,,,,,,,Matches
32,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,22,2002,9.3,,,,,,,,,,,,,,,,,,,,,Matches
33,Jonas Adjetey,gh GHA,DF,Wolfsburg,de Bundesliga,21,2003,1.5,,,,,,,,,,,,,,,,,,,,,Matches
34,Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25,2000,12.2,,,,,,,,,,,,,,,,,,,,,Matches
35,Adrián,es ESP,GK,Real Betis,es La Liga,38,1987,1.0,,,,,,,,,,,,,,,,,,,,,Matches
36,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19,2006,1.9,,,,,,,,,,,,,,,,,,,,,Matches
37,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28,1997,32.1,,,,,,,,,,,,,,,,,,,,,Matches
38,David Affengruber,at AUT,DF,Elche,es La Liga,24,2001,32.8,,,,,,,,,,,,,,,,,,,,,Matches
39,Dapo Afolayan,eng ENG,MF,St Pauli,de Bundesliga,27,1997,1.7,,,,,,,,,,,,,,,,,,,,,Matches
40,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28,1997,12.2,,,,,,,,,,,,,,,,,,,,,Matches
41,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24,2000,18.0,,,,,,,,,,,,,,,,,,,,,Matches
42,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23,2002,29.8,,,,,,,,,,,,,,,,,,,,,Matches
43,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,25,1999,8.3,,,,,,,,,,,,,,,,,,,,,Matches
44,Diego Aguado,es ESP,DF,Real Madrid,es La Liga,18,2007,0.3,,,,,,,,,,,,,,,,,,,,,Matches
45,Marc Aguado,es ESP,MF,Elche,es La Liga,25,2000,27.8,,,,,,,,,,,,,,,,,,,,,Matches
46,Pablo Agudín,es ESP,MF,Oviedo,es La Liga,17,2007,1.0,,,,,,,,,,,,,,,,,,,,,Matches
47,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29,1996,15.5,,,,,,,,,,,,,,,,,,,,,Matches
48,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29,1996,2.0,,,,,,,,,,,,,,,,,,,,,Matches
49,Ruben Aguilar,fr FRA,MF,Lens,fr Ligue 1,32,1993,19.1,,,,,,,,,,,,,,,,,,,,,Matches
50,Ibai Aguirre,es ESP,MF,Real Sociedad,es La Liga,18,2007,0.1,,,,,,,,,,,,,,,,,,,,,Matches
51,Naouirou Ahamada,fr FRA,MF,Auxerre,fr Ligue 1,23,2002,7.6,,,,,,,,,,,,,,,,,,,,,Matches
52,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17,2008,15.3,,,,,,,,,,,,,,,,,,,,,Matches
53,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30,1995,12.2,,,,,,,,,,,,,,,,,,,,,Matches
54,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29,1995,7.1,,,,,,,,,,,,,,,,,,,,,Matches
55,Ola Aina,ng NGA,DF,Nottingham,eng Premier League,28,1996,17.6,,,,,,,,,,,,,,,,,,,,,Matches
56,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19,2006,15.6,,,,,,,,,,,,,,,,,,,,,Matches
57,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24,2001,10.8,,,,,,,,,,,,,,,,,,,,,Matches
58,Tosin Aiyegun,bj BEN,"FW,MF",Lorient,fr Ligue 1,27,1998,11.9,,,,,,,,,,,,,,,,,,,,,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20,2004,0.0,,,,,,,,,,,,,,,,,,,,,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27,1998,20.1,,,,,,,,,,,,,,,,,,,,,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31,1994,31.3,,,,,,,,,,,,,,,,,,,,,Matches
62,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30,1995,31.3,,,,,,,,,,,,,,,,,,,,,Matches
63,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30,1995,7.7,,,,,,,,,,,,,,,,,,,,,Matches
64,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,21,2004,2.1,,,,,,,,,,,,,,,,,,,,,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Rayo Vallecano,es La Liga,21,2004,7.9,,,,,,,,,,,,,,,,,,,,,Matches
66,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20,2004,16.0,,,,,,,,,,,,,,,,,,,,,Matches
67,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23,2002,26.7,,,,,,,,,,,,,,,,,,,,,Matches
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23,2001,21.6,,,,,,,,,,,,,,,,,,,,,Matches
69,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,32,1992,16.7,,,,,,,,,,,,,,,,,,,,,Matches
70,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30,1995,0.7,,,,,,,,,,,,,,,,,,,,,Matches
71,Al-Musrati,ly LBY,MF,Hellas Verona,it Serie A,29,1996,9.4,,,,,,,,,,,,,,,,,,,,,Matches
72,David Alaba,at AUT,DF,Real Madrid,es La Liga,33,1992,4.7,,,,,,,,,,,,,,,,,,,,,Matches
73,Agustín Albarracín,uy URU,FW,Cagliari,it Serie A,19,2005,0.4,,,,,,,,,,,,,,,,,,,,,Matches
74,Mathis Albert,us USA,FW,Dortmund,de Bundesliga,16,2009,0.0,,,,,,,,,,,,,,,,,,,,,Matches
75,Raúl Albiol,es ESP,DF,Pisa,it Serie A,39,1985,5.6,,,,,,,,,,,,,,,,,,,,,Matches
76,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,22,2002,7.7,,,,,,,,,,,,,,,,,,,,,Matches
77,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28,1996,31.1,,,,,,,,,,,,,,,,,,,,,Matches
78,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27,1998,12.6,,,,,,,,,,,,,,,,,,,,,Matches
79,Carles Aleñá,es ESP,MF,Alavés,es La Liga,27,1998,22.1,,,,,,,,,,,,,,,,,,,,,Matches
80,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,26,1998,12.9,,,,,,,,,,,,,,,,,,,,,Matches
81,Alfon,es ESP,MF,Villarreal,es La Liga,26,1999,3.7,,,,,,,,,,,,,,,,,,,,,Matches
82,Alfon,es ESP,MF,Sevilla,es La Liga,26,1999,3.5,,,,,,,,,,,,,,,,,,,,,Matches
83,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21,2004,18.5,,,,,,,,,,,,,,,,,,,,,Matches
84,Alisson,br BRA,GK,Liverpool,eng Premier League,32,1992,26.0,,,,,,,,,,,,,,,,,,,,,Matches
85,Jim Allevinah,ga GAB,MF,Angers,fr Ligue 1,30,1995,1.5,,,,,,,,,,,,,,,,,,,,,Matches
